id	instrument	px_init	px_fill	volume_init	volume_fill	side	status	date	note	tag
0	0xaefbcd1270	EURUSD	1.20508762	0.0	626.08	0.0	buy	in process	2020-01-27 17:21:41.590469	Note6	Tag10
1	0xaefbcd1270	EURUSD	1.20508762	1.20634718	626.08	1.20634718	buy	fill	2020-01-27 17:21:41.590469	Note6	Tag10
2	0xaefbcd1270	EURUSD	1.20508762	1.20634718	626.08	0.0	buy	done	2020-01-27 17:21:41.590469	Note6	Tag10
3	0x15df79a24e5	CADGBP	0.57510265	0.0	340.26	0.0	sell	in process	2020-01-27 17:21:41.543146	Note6	Tag2
4	0x15df79a24e5	CADGBP	0.57510265	0.57510265	340.26	334.40012551795115	sell	partially fill	2020-01-27 17:21:41.543146	Note6	Tag2
5	0x15df79a24e5	CADGBP	0.57510265	0.56827511	340.26	0.0	sell	done	2020-01-27 17:21:41.543146	Note6	Tag2
6	0x20cf367371f	PLNRSD	25.98565556	0.0	347.79	0.0	buy	in process	2020-01-27 17:21:41.594478	Note4	Tag4
7	0x20cf367371f	PLNRSD	25.98565556	25.99511129	347.79	25.99511129	buy	fill	2020-01-27 17:21:41.594478	Note4	Tag4
8	0x20cf367371f	PLNRSD	25.98565556	25.99511129	347.79	0.0	buy	done	2020-01-27 17:21:41.594478	Note4	Tag4
9	0x2bbef344979	CNYUSD	0.14911866	0.0	581.13	0.0	buy	in process	2020-01-27 17:21:41.555742	Note1	Tag5
10	0x2bbef344979	CNYUSD	0.14911866	0.1494143	581.13	0.0	buy	cancel	2020-01-27 17:21:41.555742	Note1	Tag5
11	0x2bbef344979	CNYUSD	0.14911866	0.1494143	581.13	0.0	buy	done	2020-01-27 17:21:41.555742	Note1	Tag5
12	0x36aeb015bd3	CNYUSD	0.15888379	0.0	88.09	0.0	buy	in process	2020-01-27 17:21:41.534048	Note3	Tag3
13	0x36aeb015bd3	CNYUSD	0.15888379	0.14573951	88.09	0.14573951	buy	fill	2020-01-27 17:21:41.534048	Note3	Tag3
14	0x36aeb015bd3	CNYUSD	0.15888379	0.14573951	88.09	0.0	buy	done	2020-01-27 17:21:41.534048	Note3	Tag3
15	0x419e6ce6e36	CHFEUR	0.91727934	0.0	398.38	0.0	sell	in process	2020-01-27 17:21:41.565896	Note5	Tag5
16	0x419e6ce6e36	CHFEUR	0.91727934	0.92636515	398.38	0.92636515	sell	fill	2020-01-27 17:21:41.565896	Note5	Tag5
17	0x419e6ce6e36	CHFEUR	0.91727934	0.92636515	398.38	0.0	sell	done	2020-01-27 17:21:41.565896	Note5	Tag5
18	0x4c8e29b807a	CHFEUR	0.9323924	0.0	149.68	0.0	sell	in process	2020-01-27 17:21:41.565950	Note5	Tag5
19	0x4c8e29b807a	CHFEUR	0.9323924	0.92035293	149.68	0.92035293	sell	fill	2020-01-27 17:21:41.565950	Note5	Tag5
20	0x4c8e29b807a	CHFEUR	0.9323924	0.92035293	149.68	0.0	sell	done	2020-01-27 17:21:41.565950	Note5	Tag5
21	0x577de6892bc	CHFEUR	0.92744591	0.0	166.52	0.0	sell	in process	2020-01-27 17:21:41.566119	Note5	Tag5
22	0x577de6892bc	CHFEUR	0.92744591	0.91775683	166.52	0.91775683	sell	fill	2020-01-27 17:21:41.566119	Note5	Tag5
23	0x577de6892bc	CHFEUR	0.92744591	0.91775683	166.52	0.0	sell	done	2020-01-27 17:21:41.566119	Note5	Tag5
24	0x626da35a558	CNYUSD	0.14794754	0.0	688.47	0.0	sell	in process	2020-01-27 17:21:41.566649	Note6	Tag6
25	0x626da35a558	CNYUSD	0.14794754	0.14785583	688.47	0.14785583	sell	fill	2020-01-27 17:21:41.566649	Note6	Tag6
26	0x626da35a558	CNYUSD	0.14794754	0.14785583	688.47	0.0	sell	done	2020-01-27 17:21:41.566649	Note6	Tag6
