ID	SIDE	INSTRUMENT	PX_INIT	VOLUME_INIT	DATE	STATUS	NOTE	TAGS
0	0xaefbcd123a	sell	CHFEUR	0.92206911	274.79	27.01.2020 17:21:21.211271	in progress	Note2	Tag10
1	0xaefbcd123a	sell	CHFEUR	0.92206911	274.79	27.01.2020 17:21:21.298334	fill	Note2	Tag10
2	0xaefbcd123a	sell	CHFEUR	0.92206911	274.79	27.01.2020 17:21:21.299033	done	Note2	Tag10
3	0xaefbcd123f	sell	CNYUSD	0.14909206	696.32	27.01.2020 17:21:45.239035	in progress	Note1	Tag10
4	0xaefbcd123f	sell	CNYUSD	0.15779627	83.94	27.01.2020 17:21:45.258512	partially fill	Note1	Tag10
5	0xaefbcd123f	sell	CNYUSD	0.15779627	696.32	27.01.2020 17:21:45.346884	done	Note1	Tag10
6	0xaefbcd124e	buy	CHFEUR	0.91895178	715.0	27.01.2020 17:22:09.226257	in progress	Note1	Tag2
7	0xaefbcd124e	buy	CHFEUR	0.0	715.0	27.01.2020 17:22:09.268553	cancel	Note1	Tag2
8	0xaefbcd124e	buy	CHFEUR	0.0	715.0	27.01.2020 17:22:09.328612	done	Note1	Tag2
9	0xaefbcd1254	buy	CADGBP	0.56654121	899.39	27.01.2020 17:22:33.286115	in progress	Note6	Tag3
10	0xaefbcd1254	buy	CADGBP	0.57517641	1247.64	27.01.2020 17:22:33.363138	partially fill	Note6	Tag3
11	0xaefbcd1254	buy	CADGBP	0.57517641	899.39	27.01.2020 17:22:33.432296	done	Note6	Tag3
12	0xaefbcd125c	sell	SEKUSD	0.11794272	577.66	27.01.2020 17:22:57.274163	in progress	Note2	Tag6
13	0xaefbcd125c	sell	SEKUSD	0.0	577.66	27.01.2020 17:22:57.340989	cancel	Note2	Tag6
14	0xaefbcd125c	sell	SEKUSD	0.0	577.66	27.01.2020 17:22:57.378113	done	Note2	Tag6
15	0xaefbcd1269	sell	CNYUSD	0.1461679	543.85	27.01.2020 17:23:21.236615	in progress	Note1	Tag4
16	0xaefbcd1269	sell	CNYUSD	0.1461679	543.85	27.01.2020 17:23:21.301440	fill	Note1	Tag4
17	0xaefbcd1269	sell	CNYUSD	0.1461679	543.85	27.01.2020 17:23:21.332275	done	Note1	Tag4
18	0xaefbcd1273	buy	CNYUSD	0.15809265	351.8	27.01.2020 17:23:45.218654	in progress	Note1	Tag10
19	0xaefbcd1273	buy	CNYUSD	0.15809265	351.8	27.01.2020 17:23:45.221408	fill	Note1	Tag10
20	0xaefbcd1273	buy	CNYUSD	0.15809265	351.8	27.01.2020 17:23:45.257242	done	Note1	Tag10
21	0xaefbcd127d	buy	USDUAN	28.04864771	456.38	27.01.2020 17:24:09.262228	in progress	Note3	Tag7
22	0xaefbcd127d	buy	USDUAN	28.04864771	456.38	27.01.2020 17:24:09.314319	fill	Note3	Tag7
23	0xaefbcd127d	buy	USDUAN	28.04864771	456.38	27.01.2020 17:24:09.405150	done	Note3	Tag7
24	0xaefbcd1287	buy	JPYTRY	0.06390541	488.5	27.01.2020 17:24:33.299120	in progress	Note1	Tag9
25	0xaefbcd1287	buy	JPYTRY	0.0	488.5	27.01.2020 17:24:33.365686	cancel	Note1	Tag9
26	0xaefbcd1287	buy	JPYTRY	0.0	488.5	27.01.2020 17:24:33.401991	done	Note1	Tag9
27	0xaefbcd1292	buy	EURUSD	1.19867238	805.53	27.01.2020 17:24:57.215020	in progress	Note1	Tag5
28	0xaefbcd1292	buy	EURUSD	1.19867238	805.53	27.01.2020 17:24:57.271753	fill	Note1	Tag5
29	0xaefbcd1292	buy	EURUSD	1.19867238	805.53	27.01.2020 17:24:57.277166	done	Note1	Tag5
30	0xaefbcd129c	sell	PLNRSD	25.98727121	792.86	27.01.2020 17:25:21.250811	in progress	Note2	Tag4
31	0xaefbcd129c	sell	PLNRSD	0.0	792.86	27.01.2020 17:25:21.316819	cancel	Note2	Tag4
32	0xaefbcd129c	sell	PLNRSD	0.0	792.86	27.01.2020 17:25:21.351373	done	Note2	Tag4
33	0xaefbcd12a8	buy	GBRRUB	104.15171867	667.87	27.01.2020 17:25:45.263254	in progress	Note3	Tag3
34	0xaefbcd12a8	buy	GBRRUB	0.0	667.87	27.01.2020 17:25:45.302705	cancel	Note3	Tag3
35	0xaefbcd12a8	buy	GBRRUB	0.0	667.87	27.01.2020 17:25:45.353826	done	Note3	Tag3
36	0xaefbcd12ad	sell	DKKPLN	0.59801576	434.24	27.01.2020 17:26:09.302344	in progress	Note4	Tag9
37	0xaefbcd12ad	sell	DKKPLN	0.59801576	434.24	27.01.2020 17:26:09.305306	fill	Note4	Tag9
38	0xaefbcd12ad	sell	DKKPLN	0.59801576	434.24	27.01.2020 17:26:09.341793	done	Note4	Tag9
39	0xaefbcd12bc	buy	JPYTRY	0.06013463	270.03	27.01.2020 17:26:33.225149	in progress	Note2	Tag6
40	0xaefbcd12bc	buy	JPYTRY	0.0653563	508.63	27.01.2020 17:26:33.283679	partially fill	Note2	Tag6
41	0xaefbcd12bc	buy	JPYTRY	0.0653563	270.03	27.01.2020 17:26:33.294738	done	Note2	Tag6
42	0xaefbcd12c1	buy	SEKUSD	0.11761221	649.26	27.01.2020 17:26:57.282634	in progress	Note3	Tag4
43	0xaefbcd12c1	buy	SEKUSD	0.11623426	121.59	27.01.2020 17:26:57.304366	partially fill	Note3	Tag4
44	0xaefbcd12c1	buy	SEKUSD	0.11623426	649.26	27.01.2020 17:26:57.399821	done	Note3	Tag4
45	0xaefbcd12cf	buy	GBRRUB	104.15499405	250.56	27.01.2020 17:27:21.263228	in progress	Note1	Tag8
46	0xaefbcd12cf	buy	GBRRUB	104.15013621	58.42	27.01.2020 17:27:21.275434	partially fill	Note1	Tag8
47	0xaefbcd12cf	buy	GBRRUB	104.15013621	250.56	27.01.2020 17:27:21.340962	done	Note1	Tag8
48	0xaefbcd12de	sell	SEKUSD	0.11776149	457.15	27.01.2020 17:27:45.302262	in progress	Note6	Tag6
49	0xaefbcd12de	sell	SEKUSD	0.12554853	435.01	27.01.2020 17:27:45.333259	partially fill	Note6	Tag6
50	0xaefbcd12de	sell	SEKUSD	0.12554853	457.15	27.01.2020 17:27:45.357821	done	Note6	Tag6
51	0xaefbcd12e2	sell	EURUSD	1.20448078	496.14	27.01.2020 17:28:09.224892	in progress	Note1	Tag5
52	0xaefbcd12e2	sell	EURUSD	1.20448078	496.14	27.01.2020 17:28:09.265734	fill	Note1	Tag5
53	0xaefbcd12e2	sell	EURUSD	1.20448078	496.14	27.01.2020 17:28:09.321225	done	Note1	Tag5
54	0xaefbcd12ed	sell	EURUSD	1.21035791	880.9	27.01.2020 17:28:33.281825	in progress	Note1	Tag6
55	0xaefbcd12ed	sell	EURUSD	1.20839244	1263.52	27.01.2020 17:28:33.313761	partially fill	Note1	Tag6
56	0xaefbcd12ed	sell	EURUSD	1.20839244	880.9	27.01.2020 17:28:33.341272	done	Note1	Tag6
57	0xaefbcd12fb	sell	PLNRSD	25.98772897	395.2	27.01.2020 17:28:57.260686	in progress	Note4	Tag2
58	0xaefbcd12fb	sell	PLNRSD	25.98707251	365.33	27.01.2020 17:28:57.330631	partially fill	Note4	Tag2
59	0xaefbcd12fb	sell	PLNRSD	25.98707251	395.2	27.01.2020 17:28:57.377554	done	Note4	Tag2
60	0xaefbcd12fd	sell	EURUSD	1.2107235	884.65	27.01.2020 17:29:21.294274	in progress	Note3	Tag6
61	0xaefbcd12fd	sell	EURUSD	1.20298645	535.89	27.01.2020 17:29:21.355802	partially fill	Note3	Tag6
62	0xaefbcd12fd	sell	EURUSD	1.20298645	884.65	27.01.2020 17:29:21.376281	done	Note3	Tag6
63	0xaefbcd130d	buy	DKKPLN	0.60709921	432.12	27.01.2020 17:29:45.299797	in progress	Note5	Tag7
64	0xaefbcd130d	buy	DKKPLN	0.60231141	858.45	27.01.2020 17:29:45.314495	partially fill	Note5	Tag7
65	0xaefbcd130d	buy	DKKPLN	0.60231141	432.12	27.01.2020 17:29:45.387852	done	Note5	Tag7
66	0xaefbcd1316	buy	GBRRUB	104.15204117	249.08	27.01.2020 17:30:09.217148	in progress	Note5	Tag8
67	0xaefbcd1316	buy	GBRRUB	104.15204117	249.08	27.01.2020 17:30:09.225409	fill	Note5	Tag8
68	0xaefbcd1316	buy	GBRRUB	104.15204117	249.08	27.01.2020 17:30:09.278546	done	Note5	Tag8
69	0xaefbcd131c	sell	NZDEUR	0.59522132	442.49	27.01.2020 17:30:33.257496	in progress	Note1	Tag7
70	0xaefbcd131c	sell	NZDEUR	0.59522132	442.49	27.01.2020 17:30:33.280357	fill	Note1	Tag7
71	0xaefbcd131c	sell	NZDEUR	0.59522132	442.49	27.01.2020 17:30:33.379361	done	Note1	Tag7
72	0xaefbcd132c	buy	CADGBP	0.56332286	351.45	27.01.2020 17:30:57.284254	in progress	Note6	Tag6
73	0xaefbcd132c	buy	CADGBP	0.56141353	29.52	27.01.2020 17:30:57.331486	partially fill	Note6	Tag6
74	0xaefbcd132c	buy	CADGBP	0.56141353	351.45	27.01.2020 17:30:57.407054	done	Note6	Tag6
75	0xaefbcd1336	sell	GBRRUB	104.15189478	452.86	27.01.2020 17:31:21.268317	in progress	Note4	Tag1
76	0xaefbcd1336	sell	GBRRUB	0.0	452.86	27.01.2020 17:31:21.298400	cancel	Note4	Tag1
77	0xaefbcd1336	sell	GBRRUB	0.0	452.86	27.01.2020 17:31:21.320092	done	Note4	Tag1
78	0xaefbcd133f	sell	CADGBP	0.57386615	453.8	27.01.2020 17:31:45.218251	in progress	Note3	Tag2
79	0xaefbcd133f	sell	CADGBP	0.57386615	453.8	27.01.2020 17:31:45.244925	fill	Note3	Tag2
80	0xaefbcd133f	sell	CADGBP	0.57386615	453.8	27.01.2020 17:31:45.255908	done	Note3	Tag2
81	0xaefbcd1346	buy	SEKUSD	0.12133702	463.03	27.01.2020 17:32:09.260963	in progress	Note3	Tag5
82	0xaefbcd1346	buy	SEKUSD	0.0	463.03	27.01.2020 17:32:09.281939	cancel	Note3	Tag5
83	0xaefbcd1346	buy	SEKUSD	0.0	463.03	27.01.2020 17:32:09.375019	done	Note3	Tag5
84	0xaefbcd1352	sell	JPYTRY	0.06264156	554.12	27.01.2020 17:32:33.295145	in progress	Note5	Tag3
85	0xaefbcd1352	sell	JPYTRY	0.06846444	592.48	27.01.2020 17:32:33.383907	partially fill	Note5	Tag3
86	0xaefbcd1352	sell	JPYTRY	0.06846444	554.12	27.01.2020 17:32:33.389944	done	Note5	Tag3
87	0xaefbcd1359	buy	EURUSD	1.19761468	311.53	27.01.2020 17:32:57.302532	in progress	Note4	Tag7
88	0xaefbcd1359	buy	EURUSD	1.19761468	311.53	27.01.2020 17:32:57.374694	fill	Note4	Tag7
89	0xaefbcd1359	buy	EURUSD	1.19761468	311.53	27.01.2020 17:32:57.428581	done	Note4	Tag7
90	0xaefbcd1361	buy	PLNRSD	25.98824808	58.9	27.01.2020 17:33:21.225741	in progress	Note3	Tag1
91	0xaefbcd1361	buy	PLNRSD	0.0	58.9	27.01.2020 17:33:21.256001	cancel	Note3	Tag1
92	0xaefbcd1361	buy	PLNRSD	0.0	58.9	27.01.2020 17:33:21.278250	done	Note3	Tag1
93	0xaefbcd1371	sell	EURUSD	1.20560001	707.1	27.01.2020 17:33:45.284492	in progress	Note4	Tag2
94	0xaefbcd1371	sell	EURUSD	1.20560001	707.1	27.01.2020 17:33:45.316661	fill	Note4	Tag2
95	0xaefbcd1371	sell	EURUSD	1.20560001	707.1	27.01.2020 17:33:45.344905	done	Note4	Tag2
96	0xaefbcd1379	buy	CHFEUR	0.93214427	821.42	27.01.2020 17:34:09.269064	in progress	Note2	Tag5
97	0xaefbcd1379	buy	CHFEUR	0.93214427	821.42	27.01.2020 17:34:09.346239	fill	Note2	Tag5
