QUERY
0	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd123a','buy','CHFEUR',0.91929288,528.68,'27.01.2020 17:21:21.303377','in progress','Note2','Tag1')"
1	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd123a','buy','CHFEUR',0,528.68,'27.01.2020 17:21:21.335994','cancel','Note2','Tag1')"
2	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd123a','buy','CHFEUR',0,528.68,'27.01.2020 17:21:21.365647','done','Note2','Tag1')"
3	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd123f','buy','SEKUSD',0.12190826,202.11,'27.01.2020 17:21:45.228393','in progress','Note4','Tag5')"
4	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd123f','buy','SEKUSD',0.12944405,334.63,'27.01.2020 17:21:45.319474','partially fill','Note4','Tag5')"
5	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd123f','buy','SEKUSD',0.12944405,202.11,'27.01.2020 17:21:45.332796','done','Note4','Tag5')"
6	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd124f','sell','JPYTRY',0.06700367,120.5,'27.01.2020 17:22:09.292824','in progress','Note2','Tag1')"
7	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd124f','sell','JPYTRY',0.06980513,402.13,'27.01.2020 17:22:09.336891','partially fill','Note2','Tag1')"
8	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd124f','sell','JPYTRY',0.06980513,120.5,'27.01.2020 17:22:09.402514','done','Note2','Tag1')"
9	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd1255','sell','GBRRUB',104.14687512,315.11,'27.01.2020 17:22:33.295242','in progress','Note2','Tag2')"
10	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd1255','sell','GBRRUB',0,315.11,'27.01.2020 17:22:33.327178','cancel','Note2','Tag2')"
11	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd1255','sell','GBRRUB',0,315.11,'27.01.2020 17:22:33.354691','done','Note2','Tag2')"
12	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd1260','sell','CNYUSD',0.16377635,94.25,'27.01.2020 17:22:57.302837','in progress','Note1','Tag4')"
13	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd1260','sell','CNYUSD',0.16613964,286.66,'27.01.2020 17:22:57.372804','partially fill','Note1','Tag4')"
14	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd1260','sell','CNYUSD',0.16613964,94.25,'27.01.2020 17:22:57.419795','done','Note1','Tag4')"
15	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd126a','buy','PLNRSD',25.98468366,56.06,'27.01.2020 17:23:21.226696','in progress','Note1','Tag6')"
16	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd126a','buy','PLNRSD',0,56.06,'27.01.2020 17:23:21.288897','cancel','Note1','Tag6')"
17	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd126a','buy','PLNRSD',0,56.06,'27.01.2020 17:23:21.311489','done','Note1','Tag6')"
18	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd1275','sell','GBRRUB',104.14759647,679.06,'27.01.2020 17:23:45.287494','in progress','Note6','Tag7')"
19	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd1275','sell','GBRRUB',0,679.06,'27.01.2020 17:23:45.323051','cancel','Note6','Tag7')"
20	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd1275','sell','GBRRUB',0,679.06,'27.01.2020 17:23:45.361939','done','Note6','Tag7')"
21	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd1282','buy','DKKPLN',0.60509275,544.69,'27.01.2020 17:24:09.278496','in progress','Note5','Tag8')"
22	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd1282','buy','DKKPLN',0.60718102,1465.73,'27.01.2020 17:24:09.360730','partially fill','Note5','Tag8')"
23	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd1282','buy','DKKPLN',0.60718102,544.69,'27.01.2020 17:24:09.446260','done','Note5','Tag8')"
24	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd128d','sell','JPYTRY',0.06735414,360.08,'27.01.2020 17:24:33.250229','in progress','Note6','Tag7')"
25	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd128d','sell','JPYTRY',0.06735414,360.08,'27.01.2020 17:24:33.278639','fill','Note6','Tag7')"
26	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd128d','sell','JPYTRY',0.06735414,360.08,'27.01.2020 17:24:33.295074','done','Note6','Tag7')"
27	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd1290','sell','PLNRSD',25.99196593,538.07,'27.01.2020 17:24:57.261424','in progress','Note2','Tag6')"
28	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd1290','sell','PLNRSD',25.99196593,538.07,'27.01.2020 17:24:57.336208','fill','Note2','Tag6')"
29	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd1290','sell','PLNRSD',25.99196593,538.07,'27.01.2020 17:24:57.398332','done','Note2','Tag6')"
30	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd12a0','sell','DKKPLN',0.59576626,294.73,'27.01.2020 17:25:21.296595','in progress','Note3','Tag3')"
31	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd12a0','sell','DKKPLN',0.59303954,13.02,'27.01.2020 17:25:21.393994','partially fill','Note3','Tag3')"
32	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd12a0','sell','DKKPLN',0.59303954,294.73,'27.01.2020 17:25:21.427165','done','Note3','Tag3')"
33	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd12aa','sell','CNYUSD',0.16406116,893.11,'27.01.2020 17:25:45.307087','in progress','Note6','Tag8')"
34	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd12aa','sell','CNYUSD',0,893.11,'27.01.2020 17:25:45.332888','cancel','Note6','Tag8')"
35	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd12aa','sell','CNYUSD',0,893.11,'27.01.2020 17:25:45.341128','done','Note6','Tag8')"
36	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd12b4','buy','DKKPLN',0.59449278,515.64,'27.01.2020 17:26:09.240048','in progress','Note5','Tag4')"
37	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd12b4','buy','DKKPLN',0.59957567,127.36,'27.01.2020 17:26:09.333958','partially fill','Note5','Tag4')"
38	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd12b4','buy','DKKPLN',0.59957567,515.64,'27.01.2020 17:26:09.356169','done','Note5','Tag4')"
39	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd12be','sell','CADGBP',0.57342987,73.36,'27.01.2020 17:26:33.229439','in progress','Note4','Tag10')"
40	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd12be','sell','CADGBP',0.57342987,73.36,'27.01.2020 17:26:33.261231','fill','Note4','Tag10')"
41	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd12be','sell','CADGBP',0.57342987,73.36,'27.01.2020 17:26:33.288293','done','Note4','Tag10')"
42	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd12c9','buy','USDUAN',28.05833119,849.8,'27.01.2020 17:26:57.296109','in progress','Note1','Tag6')"
43	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd12c9','buy','USDUAN',28.05833119,849.8,'27.01.2020 17:26:57.361617','fill','Note1','Tag6')"
44	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd12c9','buy','USDUAN',28.05833119,849.8,'27.01.2020 17:26:57.394599','done','Note1','Tag6')"
45	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd12cc','sell','CADGBP',0.57104828,229.77,'27.01.2020 17:27:21.305562','in progress','Note6','Tag9')"
46	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd12cc','sell','CADGBP',0.56657968,352.7,'27.01.2020 17:27:21.329501','partially fill','Note6','Tag9')"
47	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd12cc','sell','CADGBP',0.56657968,229.77,'27.01.2020 17:27:21.331889','done','Note6','Tag9')"
48	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd12de','sell','SEKUSD',0.11100975,393.59,'27.01.2020 17:27:45.235257','in progress','Note4','Tag3')"
49	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd12de','sell','SEKUSD',0,393.59,'27.01.2020 17:27:45.271409','cancel','Note4','Tag3')"
50	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd12de','sell','SEKUSD',0,393.59,'27.01.2020 17:27:45.312168','done','Note4','Tag3')"
51	"INSERT INTO ""('ID', 'SIDE', 'INSTRUMENT', 'PX_INIT', 'VOLUME_INIT', 'DATE', 'STATUS', 'NOTE', 'TAGS')"" VALUES ('0xaefbcd12e1','buy','CNYUSD',0.15057413,868.76,'27.01.2020 17:28:09.214389','in progress','Note1','Tag9')"
